850nm,640nm,940nm,580nm
888900,-1.02234e+06,1.02688e+06,-1.40962e+06
888721,-1.02398e+06,1.02275e+06,-1.40969e+06
888867,-1.02492e+06,1.01814e+06,-1.41017e+06
888823,-1.02616e+06,1.01429e+06,-1.40972e+06
889250,-1.02691e+06,1.01259e+06,-1.40937e+06
889121,-1.02652e+06,1.01152e+06,-1.41006e+06
888956,-1.02731e+06,1.01086e+06,-1.41025e+06
889455,-1.02771e+06,1.01053e+06,-1.40912e+06
889764,-1.02742e+06,1.01093e+06,-1.40933e+06
889686,-1.02745e+06,1.01124e+06,-1.40867e+06
888951,-1.02717e+06,1.01198e+06,-1.4089e+06
889123,-1.02657e+06,1.01194e+06,-1.40916e+06
889186,-1.02747e+06,1.01159e+06,-1.40901e+06
889709,-1.02673e+06,1.00998e+06,-1.40931e+06
889339,-1.02743e+06,1.00853e+06,-1.40933e+06
889448,-1.02836e+06,1.00545e+06,-1.40875e+06
889580,-1.0286e+06,1.00314e+06,-1.40949e+06
889949,-1.02961e+06,1.00159e+06,-1.40848e+06
890316,-1.02969e+06,999745,-1.40837e+06
889736,-1.03018e+06,997970,-1.40874e+06
890437,-1.03012e+06,995967,-1.40835e+06
890795,-1.03131e+06,994501,-1.40825e+06
890448,-1.0314e+06,992222,-1.40794e+06
890192,-1.03159e+06,990776,-1.40912e+06
890437,-1.03156e+06,990748,-1.40891e+06
890862,-1.03156e+06,990375,-1.4076e+06
890685,-1.03194e+06,988707,-1.40862e+06
890274,-1.03249e+06,987308,-1.40795e+06
890617,-1.033e+06,987133,-1.40882e+06
890852,-1.03231e+06,987018,-1.40809e+06
891276,-1.03265e+06,986580,-1.40765e+06
891089,-1.03289e+06,985803,-1.40738e+06
891436,-1.03242e+06,985817,-1.4078e+06
890683,-1.03287e+06,984491,-1.40734e+06
890939,-1.03347e+06,982694,-1.40807e+06
891732,-1.03302e+06,985376,-1.40673e+06
891566,-1.03121e+06,990819,-1.40751e+06
890668,-1.02874e+06,1.00209e+06,-1.40779e+06
889652,-1.02516e+06,1.01517e+06,-1.40681e+06
889451,-1.02122e+06,1.02959e+06,-1.40661e+06
889254,-1.01825e+06,1.04061e+06,-1.4066e+06
888338,-1.01635e+06,1.04804e+06,-1.40691e+06
887464,-1.01578e+06,1.04983e+06,-1.40781e+06
888105,-1.01609e+06,1.04742e+06,-1.40697e+06
888693,-1.01749e+06,1.0426e+06,-1.40705e+06
888092,-1.01962e+06,1.03788e+06,-1.40745e+06
888371,-1.02107e+06,1.03172e+06,-1.40758e+06
889192,-1.02183e+06,1.02789e+06,-1.40737e+06
890071,-1.02308e+06,1.02363e+06,-1.40727e+06
889058,-1.02485e+06,1.01952e+06,-1.40756e+06
889209,-1.02579e+06,1.01471e+06,-1.40838e+06
889847,-1.02627e+06,1.01195e+06,-1.40727e+06
889857,-1.02651e+06,1.01058e+06,-1.40808e+06
890585,-1.02721e+06,1.00845e+06,-1.40732e+06
889743,-1.02749e+06,1.00724e+06,-1.40739e+06
890071,-1.02758e+06,1.0075e+06,-1.40712e+06
890113,-1.0273e+06,1.00911e+06,-1.40708e+06
890289,-1.02641e+06,1.01091e+06,-1.40671e+06
889424,-1.02623e+06,1.01212e+06,-1.40804e+06
889508,-1.02673e+06,1.01262e+06,-1.40745e+06
889665,-1.02561e+06,1.01342e+06,-1.40744e+06
890226,-1.02553e+06,1.01237e+06,-1.40649e+06
890442,-1.02691e+06,1.01108e+06,-1.40735e+06
889936,-1.02708e+06,1.00864e+06,-1.40702e+06
889999,-1.02741e+06,1.00767e+06,-1.40738e+06
890574,-1.02745e+06,1.00521e+06,-1.40645e+06
890547,-1.02778e+06,1.00423e+06,-1.40777e+06
890418,-1.02868e+06,1.00191e+06,-1.40671e+06
890615,-1.02886e+06,1.00009e+06,-1.407e+06
891120,-1.02869e+06,999635,-1.40692e+06
891476,-1.02969e+06,998088,-1.40733e+06
890926,-1.03021e+06,995662,-1.40722e+06
891169,-1.03029e+06,994768,-1.40711e+06
891662,-1.03005e+06,994916,-1.40666e+06
891612,-1.0301e+06,994785,-1.40659e+06
891396,-1.03059e+06,993955,-1.40602e+06
891383,-1.03077e+06,994372,-1.40613e+06
891860,-1.03047e+06,993676,-1.40555e+06
891722,-1.03087e+06,992446,-1.4055e+06
891406,-1.0314e+06,992004,-1.40607e+06
891656,-1.03088e+06,991832,-1.40572e+06
892069,-1.03009e+06,993407,-1.40529e+06
891815,-1.02941e+06,997648,-1.40562e+06
891622,-1.0268e+06,1.0059e+06,-1.40609e+06
890693,-1.02403e+06,1.01928e+06,-1.40515e+06
890403,-1.01973e+06,1.03233e+06,-1.40448e+06
890232,-1.01609e+06,1.04531e+06,-1.40486e+06
888791,-1.01436e+06,1.05323e+06,-1.40536e+06
888484,-1.01256e+06,1.05646e+06,-1.40527e+06
889058,-1.01275e+06,1.05647e+06,-1.40574e+06
889331,-1.01359e+06,1.05191e+06,-1.40499e+06
889284,-1.01557e+06,1.0459e+06,-1.4057e+06
889280,-1.01761e+06,1.03963e+06,-1.40584e+06
889612,-1.01907e+06,1.03466e+06,-1.40525e+06
890704,-1.01997e+06,1.03134e+06,-1.40522e+06
890386,-1.02107e+06,1.02783e+06,-1.40575e+06
890393,-1.02238e+06,1.02348e+06,-1.40578e+06
890860,-1.02332e+06,1.01938e+06,-1.4066e+06
891218,-1.02409e+06,1.01633e+06,-1.40519e+06
890911,-1.02489e+06,1.01499e+06,-1.40601e+06
890805,-1.02466e+06,1.01494e+06,-1.40653e+06
890820,-1.02488e+06,1.01553e+06,-1.4057e+06
891114,-1.02376e+06,1.01666e+06,-1.40565e+06
891502,-1.02365e+06,1.01813e+06,-1.40512e+06
890905,-1.02413e+06,1.01933e+06,-1.40568e+06
890886,-1.02305e+06,1.02089e+06,-1.40554e+06
891146,-1.02261e+06,1.02128e+06,-1.40468e+06
891203,-1.02282e+06,1.02017e+06,-1.40481e+06
891084,-1.02365e+06,1.0187e+06,-1.40518e+06
891171,-1.02357e+06,1.01748e+06,-1.40591e+06
891485,-1.02446e+06,1.01601e+06,-1.40517e+06
891828,-1.02399e+06,1.0148e+06,-1.40554e+06
891679,-1.02487e+06,1.01208e+06,-1.40544e+06
891929,-1.02551e+06,1.00984e+06,-1.40568e+06
892107,-1.02587e+06,1.00775e+06,-1.40551e+06
892170,-1.02689e+06,1.00717e+06,-1.40516e+06
892048,-1.02731e+06,1.00496e+06,-1.40449e+06
892170,-1.02712e+06,1.00323e+06,-1.40555e+06
892454,-1.02714e+06,1.00247e+06,-1.40512e+06
893165,-1.02712e+06,1.00231e+06,-1.40422e+06
893159,-1.02831e+06,1.00075e+06,-1.40425e+06
892579,-1.02843e+06,999932,-1.40514e+06
892645,-1.02794e+06,1.00012e+06,-1.40433e+06
893159,-1.02799e+06,999521,-1.40371e+06
893167,-1.02809e+06,998456,-1.40366e+06
892795,-1.02818e+06,998277,-1.40475e+06
893622,-1.0288e+06,997684,-1.4039e+06
893836,-1.02724e+06,1.0003e+06,-1.40379e+06
892867,-1.02542e+06,1.00864e+06,-1.40407e+06
892319,-1.02319e+06,1.01827e+06,-1.40369e+06
891624,-1.01985e+06,1.03403e+06,-1.40366e+06
891595,-1.01508e+06,1.04642e+06,-1.40358e+06
890873,-1.01218e+06,1.05774e+06,-1.40303e+06
889817,-1.0109e+06,1.06163e+06,-1.40358e+06
889891,-1.01032e+06,1.06187e+06,-1.40382e+06
890177,-1.01185e+06,1.05997e+06,-1.4042e+06
890306,-1.01282e+06,1.0545e+06,-1.40452e+06
890372,-1.01479e+06,1.04841e+06,-1.40423e+06
890744,-1.01646e+06,1.04345e+06,-1.40492e+06
891248,-1.01776e+06,1.0382e+06,-1.4049e+06
891950,-1.01863e+06,1.03399e+06,-1.40384e+06
892210,-1.02028e+06,1.02944e+06,-1.40417e+06
892061,-1.02146e+06,1.02549e+06,-1.40424e+06
892562,-1.02299e+06,1.02235e+06,-1.40384e+06
892522,-1.02265e+06,1.02052e+06,-1.40447e+06
892492,-1.0241e+06,1.01851e+06,-1.40388e+06
892229,-1.0237e+06,1.0182e+06,-1.4039e+06
892321,-1.02317e+06,1.01975e+06,-1.40416e+06
892664,-1.02253e+06,1.02031e+06,-1.40347e+06
892683,-1.02241e+06,1.02182e+06,-1.40368e+06
892012,-1.02213e+06,1.02293e+06,-1.40453e+06
892198,-1.02203e+06,1.02404e+06,-1.40367e+06
892543,-1.02158e+06,1.02297e+06,-1.40345e+06
892172,-1.02243e+06,1.02236e+06,-1.4037e+06
892027,-1.02301e+06,1.02039e+06,-1.40373e+06
892387,-1.02279e+06,1.01856e+06,-1.40436e+06
892767,-1.02369e+06,1.01754e+06,-1.40336e+06
893040,-1.02405e+06,1.01516e+06,-1.40345e+06
892556,-1.02533e+06,1.0131e+06,-1.40458e+06
892583,-1.0253e+06,1.01095e+06,-1.40319e+06
893637,-1.02583e+06,1.00896e+06,-1.40363e+06
893812,-1.02574e+06,1.0066e+06,-1.40388e+06
893068,-1.02649e+06,1.004e+06,-1.40391e+06
893491,-1.02796e+06,1.00233e+06,-1.40397e+06
893607,-1.02756e+06,1.00244e+06,-1.40312e+06
893747,-1.02772e+06,1.00181e+06,-1.40281e+06
893844,-1.02782e+06,1.0004e+06,-1.40305e+06
893984,-1.02884e+06,999326,-1.40318e+06
893491,-1.02766e+06,999347,-1.40329e+06
894691,-1.02799e+06,997976,-1.40232e+06
894059,-1.02816e+06,996093,-1.40353e+06
893705,-1.02869e+06,996262,-1.4036e+06
894228,-1.02888e+06,996905,-1.40317e+06
894350,-1.02679e+06,1.0007e+06,-1.40287e+06
893662,-1.02524e+06,1.01054e+06,-1.40233e+06
892901,-1.02292e+06,1.02035e+06,-1.40247e+06
892236,-1.01887e+06,1.03543e+06,-1.40325e+06
892131,-1.01456e+06,1.04841e+06,-1.40284e+06
890981,-1.01122e+06,1.05967e+06,-1.40294e+06
890655,-1.01076e+06,1.06331e+06,-1.40311e+06
890218,-1.01009e+06,1.06263e+06,-1.40363e+06
890414,-1.01083e+06,1.0597e+06,-1.4025e+06
890881,-1.01295e+06,1.05394e+06,-1.40325e+06
891510,-1.01576e+06,1.04818e+06,-1.40346e+06
891451,-1.01734e+06,1.04289e+06,-1.40354e+06
891895,-1.01867e+06,1.03801e+06,-1.40296e+06
891694,-1.01903e+06,1.0349e+06,-1.40385e+06
891933,-1.02023e+06,1.03058e+06,-1.40355e+06
892353,-1.02188e+06,1.02643e+06,-1.40359e+06
891976,-1.02247e+06,1.0225e+06,-1.40304e+06
892515,-1.02288e+06,1.02052e+06,-1.40387e+06
892549,-1.02357e+06,1.01909e+06,-1.40368e+06
892353,-1.02449e+06,1.01827e+06,-1.40368e+06
892481,-1.02359e+06,1.0197e+06,-1.40427e+06
892997,-1.02248e+06,1.02052e+06,-1.40283e+06
892553,-1.02323e+06,1.02214e+06,-1.40321e+06
892558,-1.02279e+06,1.02196e+06,-1.40451e+06
892536,-1.02298e+06,1.02232e+06,-1.40342e+06
892737,-1.02271e+06,1.0225e+06,-1.4033e+06
892221,-1.02261e+06,1.02205e+06,-1.40297e+06
892660,-1.0241e+06,1.01928e+06,-1.4033e+06
892643,-1.024e+06,1.01757e+06,-1.40333e+06
892839,-1.02384e+06,1.01581e+06,-1.40306e+06
893029,-1.02452e+06,1.01384e+06,-1.4033e+06
892835,-1.0253e+06,1.01122e+06,-1.40345e+06
892536,-1.02607e+06,1.00875e+06,-1.40397e+06
892854,-1.02642e+06,1.00699e+06,-1.40365e+06
893170,-1.02673e+06,1.0052e+06,-1.40266e+06
893176,-1.02732e+06,1.00367e+06,-1.40407e+06
893438,-1.02807e+06,1.00216e+06,-1.40306e+06
893508,-1.02869e+06,1.00099e+06,-1.40293e+06
893334,-1.02921e+06,1.00011e+06,-1.4026e+06
893859,-1.02881e+06,998680,-1.40263e+06
893233,-1.0295e+06,997889,-1.4031e+06
893959,-1.03021e+06,996742,-1.40274e+06
893767,-1.02915e+06,996276,-1.40344e+06
893669,-1.02947e+06,994706,-1.40359e+06
893485,-1.02986e+06,994012,-1.40268e+06
894130,-1.02966e+06,995142,-1.40206e+06
894075,-1.02864e+06,997544,-1.40205e+06
893264,-1.02671e+06,1.00622e+06,-1.40307e+06
892498,-1.02507e+06,1.01564e+06,-1.4025e+06
