Time(s),out1,out2,out3
0.539069519,163.90398,-103.52847,-90.338821
0.54297582,163.98732,-107.79606,-91.333023
0.546882121,163.94325,-103.39592,-94.27224
0.550788422,164.02731,-104.66089,-91.031837
0.554694723,164.35347,-104.4499,-90.103371
0.558601023,164.20615,-103.48755,-91.219231
0.562507324,164.03835,-102.30762,-94.202011
0.566413625,164.41168,-104.94363,-88.763306
0.570319926,164.27049,-105.35561,-90.44278
0.574226227,164.27118,-102.63039,-90.333168
0.578132528,164.14212,-104.54361,-90.146126
0.582038829,164.54935,-105.42841,-91.210304
0.585945129,163.79733,-106.05413,-91.099731
0.58985143,163.95718,-102.94769,-90.961197
0.593757731,164.00629,-102.30473,-90.647003
0.597664032,163.88663,-102.91511,-89.592056
0.601570333,163.77493,-104.53478,-92.248863
0.605476634,163.16496,-106.32256,-88.625374
0.609382935,163.04903,-103.90812,-89.640182
0.613289236,163.03421,-102.47298,-86.719795
0.617195536,163.033,-104.50912,-88.803085
0.621101837,162.92799,-103.45741,-86.117546
0.625008138,162.75244,-105.06608,-86.972031
0.628914439,162.74988,-104.29643,-85.563126
0.63282074,162.90741,-104.25941,-85.181572
0.636727041,162.58102,-106.40827,-84.972755
0.640633342,162.51138,-104.31812,-83.800919
0.644539642,162.66318,-104.39659,-82.178032
0.648445943,162.78456,-104.45514,-81.567314
0.652352244,162.72531,-108.22639,-82.661011
0.656258545,162.98911,-103.29298,-81.943123
0.660164846,162.96275,-103.40986,-81.096664
0.664071147,162.83051,-104.93245,-80.041252
0.667977448,163.15097,-105.94942,-79.155632
0.671883748,163.02005,-103.0091,-79.770897
0.675790049,163.45638,-103.98679,-81.370567
0.67969635,163.45811,-107.49446,-81.328888
0.683602651,163.86565,-99.477142,-83.165184
0.687508952,163.63863,-103.65753,-83.814583
0.691415253,163.68079,-106.22874,-82.670021
0.695321554,163.7132,-106.54131,-82.813881
0.699227855,164.16524,-104.74763,-81.823914
0.703134155,164.16124,-102.68499,-83.312088
0.707040456,164.20047,-106.2501,-83.173607
0.710946757,164.43481,-104.75581,-84.18737
0.714853058,164.51909,-106.4444,-83.782646
0.718759359,164.22615,-105.70856,-85.573303
0.72266566,164.47331,-107.98466,-85.120422
0.726571961,164.47217,-104.66635,-84.44223
0.730478261,164.60973,-101.95047,-85.349403
0.734384562,164.81541,-105.73734,-82.326942
0.738290863,164.50235,-105.25053,-84.99601
0.742197164,164.64119,-104.59974,-87.775215
0.746103465,164.71335,-105.87589,-84.742676
0.750009766,164.52596,-106.08446,-85.196083
0.753916067,164.70648,-102.49294,-86.506363
0.757822367,164.62146,-104.19731,-86.583344
0.761728668,165.09509,-104.76588,-84.103813
0.765634969,164.78337,-108.01749,-86.935509
0.76954127,164.90555,-103.6403,-85.768745
0.773447571,164.75566,-105.24754,-87.73307
0.777353872,164.76207,-109.42976,-86.284836
0.781260173,164.66621,-106.16801,-85.744843
0.785166474,164.8248,-106.70818,-85.693573
0.789072774,164.6053,-108.99822,-87.252121
0.792979075,164.73315,-106.41232,-88.652504
0.796885376,164.66438,-105.44376,-88.719337
0.800791677,164.66118,-104.70557,-87.652588
0.804697978,164.59749,-105.59621,-85.128632
0.808604279,164.7162,-107.2313,-85.472755
0.81251058,164.55428,-105.30727,-86.360268
0.81641688,164.8213,-106.35221,-87.206932
0.820323181,164.72488,-107.09755,-85.686928
0.824229482,164.57063,-108.90185,-86.35302
0.828135783,164.48793,-107.0824,-85.962784
0.832042084,164.37857,-106.0747,-87.164001
0.835948385,164.76001,-110.3888,-85.140678
0.839854686,164.31786,-105.46419,-86.405807
0.843760986,164.52983,-101.27059,-88.116127
0.847667287,164.32793,-105.80156,-85.132782
0.851573588,164.47893,-103.62916,-85.413284
0.855479889,164.21825,-106.79527,-85.58255
0.85938619,164.36311,-101.7362,-87.069954
